what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1346779798514
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1346779798514
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1346779798514
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1346779798514
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1346779798514
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1346779798514
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1346779798529
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1346779798529
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1346779798561
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1346779798576
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1346779798576
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1346779798607
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1346779798607
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1346779798607
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1346779798607
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1346779798607
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1346779798607
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1346779798607
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1346779798607
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1346779798607
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1346779798607
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1346779798717
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1346779798717
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1346779798717
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1346779798717
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1346779798717
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1346779798717
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1346779798717
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1346779798732
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1346779798732
os,sysinfo,,,"win32",1346779798732
arch,sysinfo,,,"x86_64",1346779798732
ws,sysinfo,,,"win32",1346779798732
locale,sysinfo,,,"es_AR",1346779798732
processors,sysinfo,,,"4",1346779798732
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346779798732
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1346779798732
java.specification.name,sysinfo,,,"Java Platform API Specification",1346779798732
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346779798732
java.specification.version,sysinfo,,,"1.6",1346779798732
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346779798732
java.version,sysinfo,,,"1.6.0_15",1346779798732
java.vm.info,sysinfo,,,"mixed mode",1346779798732
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1346779798732
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346779798732
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346779798732
java.vm.specification.version,sysinfo,,,"1.0",1346779798732
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346779798732
